step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
==== ====== ====== ====== ====== ====== ====== ========
  269 77.90 1492.73 -19.16 -6.77 0.00 0.98 False(21)
  270 77.94 923.45 -11.85 -6.76 0.01 0.01 False(21)
  271 77.98 1671.65 -21.44 -6.76 0.00 0.75 False(20)
  272 78.02 1272.52 -16.31 -6.76 0.00 0.69 False(20)
  273 78.06 1773.06 -22.71 -6.75 0.00 0.95 False(20)
  274 78.10 457.76 -5.86 -6.75 2.43 0.33 True(21)
  275 78.14 1470.35 -18.82 -5.86 0.00 0.30 False(21)
  276 78.17 687.18 -8.79 -5.86 0.05 0.08 False(20)
  277 78.21 1389.94 -17.77 -5.85 0.00 0.47 False(20)
  278 78.25 3035.64 -38.79 -5.85 0.00 0.91 False(20)
  279 78.29 1109.00 -14.17 -5.85 0.00 0.21 False(20)
  280 78.33 6430.07 -82.09 -5.84 0.00 0.49 False(20)
  281 78.37 793.87 -10.13 -5.84 0.01 0.73 False(20)
  282 78.41 647.77 -8.26 -5.84 0.09 0.80 False(20)
  283 78.45 3511.83 -44.77 -5.84 0.00 0.04 False(20)
  284 78.49 834.23 -10.63 -5.83 0.01 0.54 False(20)
  285 78.53 1708.77 -21.76 -5.83 0.00 0.70 False(20)
  286 78.57 1797.80 -22.88 -5.83 0.00 0.10 False(20)
  287 78.61 664.57 -8.45 -5.82 0.07 0.19 False(20)
  288 78.64 660.02 -8.39 -5.82 0.08 0.47 False(20)
  289 78.68 759.63 -9.65 -5.82 0.02 0.34 False(20)
  290 78.72 788.16 -10.01 -5.81 0.02 0.27 False(19)
  291 78.76 546.60 -6.94 -5.81 0.32 0.26 True(20)
  292 78.80 658.87 -8.36 -6.94 0.24 0.52 False(20)
  293 78.84 2612.36 -33.13 -6.93 0.00 0.32 False(20)
  294 78.88 1746.52 -22.14 -6.93 0.00 0.81 False(20)
  295 78.92 1658.89 -21.02 -6.93 0.00 0.96 False(19)
  296 78.96 1770.19 -22.42 -6.92 0.00 0.17 False(19)
  297 79.00 1820.73 -23.05 -6.92 0.00 0.52 False(19)
  298 79.04 1496.90 -18.94 -6.92 0.00 0.21 False(19)
  299 79.08 1098.74 -13.89 -6.91 0.00 0.23 False(19)
  300 79.12 1675.71 -21.18 -6.91 0.00 0.97 False(19)
  301 79.16 1709.14 -21.59 -6.91 0.00 0.95 False(19)
  302 79.20 2742.69 -34.63 -6.90 0.00 0.91 False(19)
  303 79.24 1671.51 -21.10 -6.90 0.00 1.00 False(19)
  304 79.28 2638.85 -33.29 -6.89 0.00 0.31 False(19)
  305 79.32 645.77 -8.14 -6.89 0.29 0.78 False(19)
  306 79.36 2289.97 -28.86 -6.89 0.00 0.07 False(19)
  307 79.40 1289.50 -16.24 -6.88 0.00 0.70 False(19)
  308 79.43 606.48 -7.63 -6.88 0.47 0.74 False(19)
  309 79.47 1786.12 -22.47 -6.88 0.00 0.70 False(19)
  310 79.51 1151.65 -14.48 -6.87 0.00 0.21 False(18)
  311 79.55 2203.59 -27.70 -6.87 0.00 0.04 False(18)
  312 79.59 879.06 -11.04 -6.87 0.02 0.81 False(18)
  313 79.63 544.59 -6.84 -6.86 1.03 0.02 True(19)
  314 79.67 1179.62 -14.81 -6.84 0.00 0.13 False(19)
  315 79.71 1759.70 -22.08 -6.83 0.00 0.75 False(18)
  316 79.75 361.33 -4.53 -6.83 9.95 0.68 True(19)
  317 79.79 465.08 -5.83 -4.53 0.27 0.93 False(19)
  318 79.83 1360.60 -17.04 -4.53 0.00 0.94 False(19)
  319 79.87 551.62 -6.91 -4.52 0.09 0.18 False(19)
  320 79.91 480.86 -6.02 -4.52 0.22 0.47 False(19)
  321 79.95 1602.29 -20.04 -4.52 0.00 0.93 False(18)
  322 79.99 888.30 -11.10 -4.52 0.00 0.63 False(18)
  323 80.03 763.52 -9.54 -4.51 0.01 0.85 False(18)
  324 80.07 1495.82 -18.68 -4.51 0.00 0.09 False(18)
  325 80.11 1259.17 -15.72 -4.51 0.00 0.19 False(18)
  326 80.15 1569.72 -19.58 -4.51 0.00 0.30 False(18)
  327 80.19 3191.92 -39.80 -4.51 0.00 0.28 False(18)
  328 80.23 1310.19 -16.33 -4.50 0.00 0.67 False(18)
  329 80.27 1341.12 -16.71 -4.50 0.00 0.86 False(18)
  330 80.31 1328.90 -16.55 -4.50 0.00 0.67 False(18)
  331 80.35 648.31 -8.07 -4.50 0.03 0.97 False(18)
  332 80.39 1991.03 -24.77 -4.49 0.00 0.29 False(18)
  333 80.43 1273.87 -15.84 -4.49 0.00 0.91 False(18)
  334 80.47 4993.39 -62.05 -4.49 0.00 0.94 False(18)
  335 80.51 457.84 -5.69 -4.49 0.30 0.61 False(18)
  336 80.55 1150.34 -14.28 -4.49 0.00 0.16 False(18)
  337 80.59 341.45 -4.24 -4.48 1.28 0.68 True(18)
  338 80.63 941.62 -11.68 -4.23 0.00 0.49 False(18)
  339 80.68 1902.47 -23.58 -4.23 0.00 0.45 False(18)
  340 80.72 755.66 -9.36 -4.23 0.01 0.56 False(18)
  341 80.76 1824.10 -22.59 -4.23 0.00 0.48 False(18)
